65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
65,65,65,65,67,68,68,68,68,68,68,68,69,65,65,65,65
65,65,65,67,75,76,76,76,76,76,76,76,77,69,65,65,65
65,65,65,75,83,84,84,84,84,84,84,84,85,77,65,65,65
65,65,65,83,91,64,64,64,64,64,64,64,93,85,65,65,65
65,65,65,91,64,64,64,64,64,64,64,64,64,93,65,65,65
65,65,65,64,64,64,72,64,66,64,64,64,64,64,65,65,65
65,65,65,64,64,64,80,73,74,64,64,64,64,64,65,65,65
65,65,65,64,64,64,88,64,82,64,64,64,64,64,65,65,65
65,65,65,99,64,64,64,64,64,64,64,64,64,101,65,65,65
65,65,65,65,99,64,64,64,64,64,64,64,101,65,65,65,65
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
